Year	Type of Trip	Trips Taken
2002	Commuting	164
2003	Commuting	166
2004	Commuting	170
2005	Commuting	162
2006	Commuting	162
2007	Commuting	164
2008	Commuting	158
2009	Commuting	147
2010	Commuting	150
2011	Commuting	148
2012	Commuting	147
2013	Commuting	146
2014	Commuting	148
2015	Commuting	144
2016	Commuting	144
2017	Commuting	144
2018	Commuting	144
2019	Commuting	140
2020	Commuting	91
2021	Commuting	100
2022	Commuting	119
2023	Commuting	117
2024	Commuting	111
2002	Walking	41
2003	Walking	41
2004	Walking	40
2005	Walking	45
2006	Walking	46
2007	Walking	40
2008	Walking	46
2009	Walking	46
2010	Walking	44
2011	Walking	46
2012	Walking	46
2013	Walking	43
2014	Walking	42
2015	Walking	46
2016	Walking	55
2017	Walking	57
2018	Walking	62
2019	Walking	61
2020	Walking	114
2021	Walking	106
2022	Walking	91
2023	Walking	86
2024	Walking	85
