Year	.	Value
2002	Distance Travelled	1396
2003	Distance Travelled	1420
2004	Distance Travelled	1422
2005	Distance Travelled	1394
2006	Distance Travelled	1408
2007	Distance Travelled	1439
2008	Distance Travelled	1344
2009	Distance Travelled	1260
2010	Distance Travelled	1346
2011	Distance Travelled	1318
2012	Distance Travelled	1305
2013	Distance Travelled	1276
2014	Distance Travelled	1286
2015	Distance Travelled	1305
2016	Distance Travelled	1292
2017	Distance Travelled	1304
2018	Distance Travelled	1271
2019	Distance Travelled	1272
2020	Distance Travelled	797
2021	Distance Travelled	814
2022	Distance Travelled	1005
2023	Distance Travelled	1051
2024	Distance Travelled	1003
2002	Trips Taken	155
2003	Trips Taken	157
2004	Trips Taken	157
2005	Trips Taken	151
2006	Trips Taken	150
2007	Trips Taken	153
2008	Trips Taken	148
2009	Trips Taken	138
2010	Trips Taken	140
2011	Trips Taken	139
2012	Trips Taken	136
2013	Trips Taken	138
2014	Trips Taken	140
2015	Trips Taken	134
2016	Trips Taken	135
2017	Trips Taken	134
2018	Trips Taken	133
2019	Trips Taken	131
2020	Trips Taken	86
2021	Trips Taken	94
2022	Trips Taken	110
2023	Trips Taken	109
2024	Trips Taken	103
