Year	Type of Trip	Trips Taken	Average Distance
2002	Commuting	164	1,400
2003	Commuting	166	1,424
2004	Commuting	170	1,427
2005	Commuting	162	1,398
2006	Commuting	162	1,414
2007	Commuting	164	1,444
2008	Commuting	158	1,348
2009	Commuting	147	1,264
2010	Commuting	150	1,351
2011	Commuting	148	1,322
2012	Commuting	147	1,309
2013	Commuting	146	1,280
2014	Commuting	148	1,290
2015	Commuting	144	1,309
2016	Commuting	144	1,296
2017	Commuting	144	1,309
2018	Commuting	144	1,277
2019	Commuting	140	1,276
2020	Commuting	91	799
2021	Commuting	100	817
2022	Commuting	119	1,008
2023	Commuting	117	1,055
2024	Commuting	111	1,007
2002	Shopping	222	906
2003	Shopping	215	890
2004	Shopping	214	855
2005	Shopping	212	863
2006	Shopping	225	906
2007	Shopping	191	828
2008	Shopping	202	855
2009	Shopping	196	803
2010	Shopping	197	810
2011	Shopping	194	824
2012	Shopping	191	818
2013	Shopping	184	770
2014	Shopping	178	728
2015	Shopping	182	752
2016	Shopping	183	736
2017	Shopping	189	738
2018	Shopping	188	744
2019	Shopping	181	700
2020	Shopping	141	520
2021	Shopping	133	466
2022	Shopping	151	570
2023	Shopping	169	622
2024	Shopping	167	620
2002	Visiting friends at private home	125	1,159
2003	Visiting friends at private home	122	1,148
2004	Visiting friends at private home	121	1,103
2005	Visiting friends at private home	125	1,192
2006	Visiting friends at private home	121	1,138
2007	Visiting friends at private home	112	1,094
2008	Visiting friends at private home	110	1,088
2009	Visiting friends at private home	111	1,115
2010	Visiting friends at private home	102	985
2011	Visiting friends at private home	105	1,022
2012	Visiting friends at private home	103	1,030
2013	Visiting friends at private home	96	1,010
2014	Visiting friends at private home	92	978
2015	Visiting friends at private home	89	964
2016	Visiting friends at private home	90	924
2017	Visiting friends at private home	88	901
2018	Visiting friends at private home	84	893
2019	Visiting friends at private home	82	872
2020	Visiting friends at private home	64	674
2021	Visiting friends at private home	68	695
2022	Visiting friends at private home	72	764
2023	Visiting friends at private home	74	864
2024	Visiting friends at private home	76	892
2002	Sports	19	126
2003	Sports	20	124
2004	Sports	19	122
2005	Sports	17	101
2006	Sports	16	108
2007	Sports	18	104
2008	Sports	20	121
2009	Sports	20	118
2010	Sports	18	108
2011	Sports	17	117
2012	Sports	15	96
2013	Sports	14	84
2014	Sports	13	84
2015	Sports	13	95
2016	Sports	14	86
2017	Sports	14	86
2018	Sports	14	96
2019	Sports	13	97
2020	Sports	10	53
2021	Sports	10	78
2022	Sports	12	78
2023	Sports	16	107
2024	Sports	18	105
2002	Walking	41	39
2003	Walking	41	37
2004	Walking	40	38
2005	Walking	45	41
2006	Walking	46	41
2007	Walking	40	38
2008	Walking	46	40
2009	Walking	46	41
2010	Walking	44	39
2011	Walking	46	42
2012	Walking	46	40
2013	Walking	43	42
2014	Walking	42	39
2015	Walking	46	44
2016	Walking	55	47
2017	Walking	57	51
2018	Walking	62	53
2019	Walking	61	53
2020	Walking	114	120
2021	Walking	106	106
2022	Walking	91	85
2023	Walking	86	84
2024	Walking	85	83
2002	Day trip	23	380
2003	Day trip	24	389
2004	Day trip	24	356
2005	Day trip	28	399
2006	Day trip	27	392
2007	Day trip	28	395
2008	Day trip	29	390
2009	Day trip	28	392
2010	Day trip	28	407
2011	Day trip	30	398
2012	Day trip	27	342
2013	Day trip	28	368
2014	Day trip	29	367
2015	Day trip	28	358
2016	Day trip	29	381
2017	Day trip	35	446
2018	Day trip	33	378
2019	Day trip	32	435
2020	Day trip	45	488
2021	Day trip	36	379
2022	Day trip	34	413
2023	Day trip	36	482
2024	Day trip	39	498
2002	Visiting friends elsewhere	50	274
2003	Visiting friends elsewhere	49	265
2004	Visiting friends elsewhere	46	264
2005	Visiting friends elsewhere	50	261
2006	Visiting friends elsewhere	52	296
2007	Visiting friends elsewhere	50	305
2008	Visiting friends elsewhere	48	274
2009	Visiting friends elsewhere	49	275
2010	Visiting friends elsewhere	48	276
2011	Visiting friends elsewhere	46	279
2012	Visiting friends elsewhere	45	272
2013	Visiting friends elsewhere	45	286
2014	Visiting friends elsewhere	47	287
2015	Visiting friends elsewhere	48	306
2016	Visiting friends elsewhere	50	308
2017	Visiting friends elsewhere	49	311
2018	Visiting friends elsewhere	53	318
2019	Visiting friends elsewhere	48	293
2020	Visiting friends elsewhere	24	169
2021	Visiting friends elsewhere	26	196
2022	Visiting friends elsewhere	41	235
2023	Visiting friends elsewhere	48	293
2024	Visiting friends elsewhere	50	304
2002	All trips per person per year	1,074	7,193
2003	All trips per person per year	1,060	7,211
2004	All trips per person per year	1,054	7,060
2005	All trips per person per year	1,070	7,182
2006	All trips per person per year	1,067	7,109
2007	All trips per person per year	998	7,133
2008	All trips per person per year	1,014	6,888
2009	All trips per person per year	997	6,716
2010	All trips per person per year	982	6,698
2011	All trips per person per year	972	6,764
2012	All trips per person per year	971	6,607
2013	All trips per person per year	943	6,592
2014	All trips per person per year	942	6,496
2015	All trips per person per year	934	6,657
2016	All trips per person per year	954	6,499
2017	All trips per person per year	975	6,580
2018	All trips per person per year	986	6,530
2019	All trips per person per year	953	6,500
2020	All trips per person per year	739	4,334
2021	All trips per person per year	757	4,329
2022	All trips per person per year	862	5,373
2023	All trips per person per year	915	5,974
2024	All trips per person per year	922	6,082
2002	Leisure	277	2807
2003	Leisure	273	2859
2004	Leisure	271	2746
2005	Leisure	283	2861
2006	Leisure	278	2802
2007	Leisure	268	2815
2008	Leisure	263	2697
2009	Leisure	264	2814
2010	Leisure	254	2601
2011	Leisure	257	2735
2012	Leisure	252	2543
2013	Leisure	244	2618
2014	Leisure	243	2531
2015	Leisure	241	2706
2016	Leisure	248	2548
2017	Leisure	252	2681
2018	Leisure	255	2637
2019	Leisure	247	2691
2020	Leisure	173	1834
