Year	Commuting	Distance
2002	164	1,400
2003	166	1,424
2004	170	1,427
2005	162	1,398
2006	162	1,414
2007	164	1,444
2008	158	1,348
2009	147	1,264
2010	150	1,351
2011	148	1,322
2012	147	1,309
2013	146	1,280
2014	148	1,290
2015	144	1,309
2016	144	1,296
2017	144	1,309
2018	144	1,277
2019	140	1,275
2020	91	799
2021	100	817
2022	119	1,008
2023	117	1,055
2024	111	1,007
2002	155	1,396
2003	157	1,420
2004	157	1,422
2005	151	1,394
2006	150	1,408
2007	153	1,439
2008	148	1,344
2009	138	1,260
2010	140	1,346
2011	139	1,318
2012	136	1,305
2013	138	1,276
2014	140	1,286
2015	134	1,305
2016	135	1,292
2017	134	1,304
2018	133	1,271
2019	131	1,272
2020	86	797
2021	94	814
2022	110	1,005
2023	109	1,051
2024	103	1,003
