Year	Commuting	Distance
2002	164	1400
2003	166	1424
2004	170	1427
2005	162	1398
2006	162	1414
2007	164	1444
2008	158	1348
2009	147	1264
2010	150	1351
2011	148	1322
2012	147	1309
2013	146	1280
2014	148	1290
2015	144	1309
2016	144	1296
2017	144	1309
2018	144	1277
2019	140	1275
2020	91	799
2021	100	817
2022	119	1008
2023	117	1055
2024	111	1007
2002	155	1396
2003	157	1420
2004	157	1422
2005	151	1394
2006	150	1408
2007	153	1439
2008	148	1344
2009	138	1260
2010	140	1346
2011	139	1318
2012	136	1305
2013	138	1276
2014	140	1286
2015	134	1305
2016	135	1292
2017	134	1304
2018	133	1271
2019	131	1272
2020	86	797
2021	94	814
2022	110	1005
2023	109	1051
2024	103	1003
